code;province;region;area;zone;name;primary
1101;11;1;57;02;Iquique;02
1102;11;1;57;02;Camiña;02
1103;11;1;57;02;Colchane;02
1104;11;1;57;02;Huara;02
1105;11;1;57;02;Pica;02
1106;11;1;57;02;Pozo Almonte;02
1107;11;1;57;02;Alto Hospicio;02
1201;12;1;58;02;Arica;01
1202;12;1;58;02;Camarones;01
1301;13;1;58;02;Putre;01
1302;13;1;58;02;General Lagos;01
1401;14;1;57;02;Pozo Almonte;02
1402;14;1;57;02;Camiña;02
1403;14;1;57;02;Colchane;02
1404;14;1;57;02;Huara;02
1405;14;1;57;02;Pica;02
2101;21;2;55;03;Antofagasta;03
2102;21;2;55;03;Mejillones;03
2103;21;2;55;03;Sierra Gorda;03
2104;21;2;55;03;Taltal;03
2201;22;2;55;03;Calama;03
2202;22;2;55;03;Ollagüe;03
2203;22;2;55;03;San Pedro de Atacama;03
2301;23;2;55;03;Tocopilla;03
2302;23;2;55;03;María Elena;03
3101;31;3;52;04;Copiapó;04
3102;31;3;52;04;Caldera;04
3103;31;3;52;04;Tierra Amarilla;04
3201;32;3;52;04;Chañaral;04
3202;32;3;52;04;Diego de Almagro;04
3301;33;3;51;04;Vallenar;04
3302;33;3;51;04;Alto Del Carmen;04
3303;33;3;51;04;Freirina;04
3304;33;3;51;04;Huasco;04
4101;41;4;51;04;La Serena;04
4102;41;4;51;04;Coquimbo;04
4103;41;4;51;04;Andacollo;04
4104;41;4;51;04;La Higuera;04
4105;41;4;51;04;Paihuano;04
4106;41;4;51;04;Vicuña;04
4201;42;4;53;04;Illapel;04
4202;42;4;53;04;Canela;04
4203;42;4;53;04;Los Vilos;04
4204;42;4;53;04;Salamanca;04
4301;43;4;53;04;Ovalle;04
4302;43;4;53;04;Combarbalá;04
4303;43;4;53;04;Monte Patria;04
4304;43;4;53;04;Punitaqui;04
4305;43;4;53;04;Río Hurtado;04
5101;51;5;32;05;Valparaíso;05
5102;51;5;32;05;Casablanca;05
5103;51;5;32;05;Concón;05
5104;51;5;32;05;Juan Fernández;05
5105;51;5;32;05;Puchuncaví;05
5106;51;5;32;05;Quilpué;05
5107;51;5;32;05;Quintero;05
5108;51;5;32;05;Villa Alemana;05
5109;51;5;32;05;Viña del Mar;05
5201;52;5;32;05;Isla de Pascua;05
5301;53;5;34;05;Los Andes;05
5302;53;5;34;05;Calle Larga;05
5303;53;5;34;05;Rinconada;05
5304;53;5;34;05;San Esteban;05
5401;54;5;33;05;La Ligua;05
5402;54;5;33;05;Cabildo;05
5403;54;5;33;05;Papudo;05
5404;54;5;33;05;Petorca;05
5405;54;5;33;05;Zapallar;05
5501;55;5;33;05;Quillota;05
5502;55;5;33;05;Calera;05
5503;55;5;33;05;Hijuelas;05
5504;55;5;33;05;La Cruz;05
5505;55;5;33;05;Limache;05
5506;55;5;33;05;Nogales;05
5507;55;5;33;05;Olmué;05
5601;56;5;35;05;San Antonio;05
5602;56;5;35;05;Algarrobo;05
5603;56;5;35;05;Cartagena;05
5604;56;5;35;05;El Quisco;05
5605;56;5;35;05;El Tabo;05
5606;56;5;35;05;Santo Domingo;05
5701;57;5;34;05;San Felipe;05
5702;57;5;34;05;Catemu;05
5703;57;5;34;05;Llaillay;05
5704;57;5;34;05;Panquehue;05
5705;57;5;34;05;Putaendo;05
5706;57;5;34;05;Santa María;05
5801;58;5;32;05;Quilpué;05
5802;58;5;33;05;Limache;05
5803;58;5;33;05;Olmué;05
5804;58;5;32;05;Villa Alemana;05
6101;61;6;72;07;Rancagua;07
6102;61;6;72;07;Codegua;07
6103;61;6;72;07;Coinco;07
6104;61;6;72;07;Coltauco;07
6105;61;6;72;07;Doñihue;07
6106;61;6;72;07;Graneros;07
6107;61;6;72;07;Las Cabras;07
6108;61;6;72;07;Machalí;07
6109;61;6;72;07;Malloa;07
6110;61;6;72;07;Mostazal;07
6111;61;6;72;07;Olivar;07
6112;61;6;72;07;Peumo;07
6113;61;6;72;07;Pichidegua;07
6114;61;6;72;07;Quinta de Tilcoco;07
6115;61;6;72;07;Rengo;07
6116;61;6;72;07;Requinoa;07
6117;61;6;72;07;San Vicente;07
6201;62;6;72;07;Pichilemu;07
6202;62;6;72;07;La Estrella;07
6203;62;6;72;07;Litueche;07
6204;62;6;72;07;Marchihue;07
6205;62;6;72;07;Navidad;07
6206;62;6;72;07;Paredones;07
6301;63;6;72;07;San Fernando;07
6302;63;6;72;07;Chépica;07
6303;63;6;72;07;Chimbarongo;07
6304;63;6;72;07;Lolol;07
6305;63;6;72;07;Nancagua;07
6306;63;6;72;07;Palmilla;07
6307;63;6;72;07;Peralillo;07
6308;63;6;72;07;Placilla;07
6309;63;6;72;07;Pumanque;07
6310;63;6;72;07;Santa Cruz;07
7101;71;7;71;08;Talca;08
7102;71;7;71;08;Constitución;08
7103;71;7;75;08;Curepto;08
7104;71;7;71;08;Empedrado;08
7105;71;7;71;08;Maule;08
7106;71;7;71;08;Pelarco;08
7107;71;7;71;08;Pencahue;08
7108;71;7;71;08;Río Claro;08
7109;71;7;71;08;San Clemente;08
7110;71;7;71;08;San Rafael;08
7201;72;7;73;08;Cauquenes;08
7202;72;7;73;08;Chanco;08
7203;72;7;73;08;Pelluhue;08
7301;73;7;75;08;Curicó;08
7302;73;7;75;08;Hualañé;08
7303;73;7;75;08;Licantén;08
7304;73;7;75;08;Molina;08
7305;73;7;75;08;Rauco;08
7306;73;7;75;08;Romeral;08
7307;73;7;75;08;Sagrada Familia;08
7308;73;7;75;08;Teno;08
7309;73;7;75;08;Vichuquén;08
7401;74;7;73;08;Linares;08
7402;74;7;73;08;Colbún;08
7403;74;7;73;08;Longaví;08
7404;74;7;73;08;Parral;08
7405;74;7;73;08;Retiro;08
7406;74;7;73;08;San Javier;08
7407;74;7;73;08;Villa Alegre;08
7408;74;7;73;08;Yerbas Buenas;08
8101;81;8;41;09;Concepción;09
8102;81;8;41;09;Coronel;09
8103;81;8;41;09;Chiguayante;09
8104;81;8;41;09;Florida;09
8105;81;8;41;09;Hualqui;09
8106;81;8;41;09;Lota;09
8107;81;8;41;09;Penco;09
8108;81;8;41;09;San Pedro de la Paz;09
8109;81;8;41;09;Santa Juana;09
8110;81;8;41;09;Talcahuano;09
8111;81;8;41;09;Tomé;09
8112;81;8;41;09;Hualpén;09
8201;82;8;41;09;Lebu;09
8202;82;8;41;09;Arauco;09
8203;82;8;41;09;Cañete;09
8204;82;8;41;09;Contulmo;09
8205;82;8;41;09;Curanilahue;09
8206;82;8;41;09;Los Alamos;09
8207;82;8;41;09;Tirúa;09
8301;83;8;43;09;Los Angeles;09
8302;83;8;43;09;Antuco;09
8303;83;8;43;09;Cabrero;09
8304;83;8;43;09;Laja;09
8305;83;8;43;09;Mulchén;09
8306;83;8;43;09;Nacimiento;09
8307;83;8;43;09;Negrete;09
8308;83;8;43;09;Quilaco;09
8309;83;8;43;09;Quilleco;09
8310;83;8;43;09;San Rosendo;09
8311;83;8;43;09;Santa Bárbara;09
8312;83;8;43;09;Tucapel;09
8313;83;8;43;09;Yumbel;09
8314;83;8;43;09;Alto Biobío;09
8401;84;8;42;09;Chillán;09
